path,kind,description,source,status,zenodo_filename,expected_local_path,checkpoint_role
configs/po_1epoch.json,config,PO 1-epoch config,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/config_rruff_conditioned_200k_po_1e_from_ic6gfmvm_physpe_coord.json,copied,,,
configs/po_resume2.json,config,PO continuation config,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/config_rruff_conditioned_200k_po_resume2_from_cscjfdwk_physpe_coord.json,copied,,,
configs/mixed_2500k_merged_reference.json,config,Merged-HDF5 mixed config retained for reference,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/config_rruff_conditioned_mixed_2500k_from_ic6gfmvm_physpe_coord.json,copied,,,
scripts/train_final_mixed.sh,script,Canonical portable wrapper for final champion training,/tmp/paper-ai-diffraction/scripts/train_final_mixed.sh,authored,,,
scripts/train_mixed_200k.sh,script,Canonical portable wrapper for mixed-200k pilot training,/tmp/paper-ai-diffraction/scripts/train_mixed_200k.sh,authored,,,
scripts/train_po_1epoch.sh,script,Canonical portable wrapper for PO 1-epoch training,/tmp/paper-ai-diffraction/scripts/train_po_1epoch.sh,authored,,,
scripts/train_po_resume2.sh,script,Canonical portable wrapper for PO continuation training,/tmp/paper-ai-diffraction/scripts/train_po_resume2.sh,authored,,,
scripts/tacc_archive/train_final_mixed_2500k_dualsource_tacc.sh,script,Historical TACC launcher for final champion,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/vista_rruff_conditioned_dualsource_2346k_500kpo_from_ic6gfmvm_physpe_coord_gh.sh,archived,,,
scripts/tacc_archive/train_mixed_200k_pilot_tacc.sh,script,Historical TACC launcher for mixed-200k pilot,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/vista_rruff_conditioned_mixed_200k_from_ic6gfmvm_physpe_coord_ghdev.sh,archived,,,
scripts/tacc_archive/train_po_1epoch_tacc.sh,script,Historical TACC launcher for PO 1-epoch run,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/vista_rruff_conditioned_200k_po_1e_from_ic6gfmvm_physpe_coord.sh,archived,,,
scripts/tacc_archive/train_po_resume2_tacc.sh,script,Historical TACC launcher for PO continuation,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/vista_rruff_conditioned_200k_po_resume2_from_cscjfdwk_physpe_coord_ghdev.sh,archived,,,
scripts/tacc_archive/eval_final_mixed_rruff_tacc.sh,script,Historical TACC launcher for final benchmark evaluation,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/vista_eval_mixed2500k_rruff_benchmarks_and_topology.sh,archived,,,
scripts/tacc_archive/eval_mixed200k_topology_tacc.sh,script,Historical TACC launcher for mixed-200k topology eval,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/vista_compare_mixed200k_r325_failure_modes.sh,archived,,,
scripts/tacc_archive/eval_wiseft_r325_tacc.sh,script,Historical TACC launcher for WiSE-FT R325 eval,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/vista_eval_wiseft_stage2c_po_r325.sh,archived,,,
scripts/eval_rruff_325_473.sh,script,Paper-facing benchmark evaluation wrapper,/tmp/paper-ai-diffraction/scripts/eval_rruff_325_473.sh,authored,,,
scripts/make_topology_flow_figure.sh,script,Paper-facing topology-flow wrapper,/tmp/paper-ai-diffraction/scripts/make_topology_flow_figure.sh,authored,,,
scripts/make_topology_distance_figure.sh,script,Paper-facing topology-distance wrapper,/tmp/paper-ai-diffraction/scripts/make_topology_distance_figure.sh,authored,,,
scripts/make_calibration_figure.sh,script,Paper-facing calibration sweep wrapper,/tmp/paper-ai-diffraction/scripts/make_calibration_figure.sh,authored,,,
scripts/make_main_tables.py,script,Paper-facing table-generation script,/tmp/paper-ai-diffraction/scripts/make_main_tables.py,authored,,,
results/,directory,Compact JSON outputs used in paper; generated figures are intentionally excluded from git,/Users/williamratcliff/Library/CloudStorage/Box-Box/tasai_paper_clean/zenodo_paper_repro/results,copied,,,
docs/po_dualsource_student_handoff_2026-04-06.md,doc,Short handoff note,/Users/williamratcliff/ai-diffraction/docs/review_notes/po_dualsource_student_handoff_2026-04-06.md,copied,,,
docs/preferred_orientation_status_2026-04-04.md,doc,PO and mixed-curriculum status note,/Users/williamratcliff/ai-diffraction/docs/review_notes/preferred_orientation_status_2026-04-04.md,copied,,,
docs/TRAINING.md,doc,Paper-facing training instructions,/tmp/paper-ai-diffraction/docs/TRAINING.md,authored,,,
docs/EVALUATION.md,doc,Paper-facing evaluation instructions,/tmp/paper-ai-diffraction/docs/EVALUATION.md,authored,,,
docs/FIGURES.md,doc,Paper-facing figure instructions,/tmp/paper-ai-diffraction/docs/FIGURES.md,authored,,,
assets/topology/extinction_group_adjacency.json,asset,Condensed extinction-group topology graph,/Users/williamratcliff/ai-diffraction/artifacts/topology_graphs/extinction_group_adjacency.json,copied,,,
reproducibility/checkpoint_manifest.csv,metadata,Checkpoint linkage manifest,/tmp/paper-ai-diffraction/reproducibility/checkpoint_manifest.csv,generated,,,
reproducibility/dataset_manifest.csv,metadata,Dataset and external-asset manifest,/tmp/paper-ai-diffraction/reproducibility/dataset_manifest.csv,generated,,,
