logical_name,asset_class,redistributed_in_repo,expected_env_var,example_filename,expected_local_path_or_source,required_for,notes
legacy_replay_checkpoint,zenodo_checkpoint,no,,xrd_model_wwuvp1kj_best.pth,external/checkpoints/xrd_model_wwuvp1kj_best.pth,supplementary baselines,Named supplementary replay-era baseline checkpoint.
baseline_350k_checkpoint,zenodo_checkpoint,no,,xrd_model_7pv3pv3y_best.pth,external/checkpoints/xrd_model_7pv3pv3y_best.pth,supplementary baselines,Named supplementary 350k baseline checkpoint.
stage2c_baseline_checkpoint,zenodo_checkpoint,no,,xrd_model_9rwv1qly_best.pth,external/checkpoints/xrd_model_9rwv1qly_best.pth,historical baseline comparison,Retained for manuscript-history provenance; not the current flat-37 reference checkpoint.
stage2c_aux025_checkpoint,zenodo_checkpoint,no,,xrd_model_0879pvmm_best.pth,external/checkpoints/xrd_model_0879pvmm_best.pth,supplementary ablation,Named supplementary Stage-2c-aux025 ablation checkpoint.
po_1epoch_checkpoint,zenodo_checkpoint,no,,xrd_model_cscjfdwk_best.pth,external/checkpoints/xrd_model_cscjfdwk_best.pth,PO ablation,Download from Zenodo if reproducing the PO-only ablation.
po_resume2_checkpoint,zenodo_checkpoint,no,,xrd_model_dsi7ehiv_best.pth,external/checkpoints/xrd_model_dsi7ehiv_best.pth,PO continuation,Download from Zenodo if reproducing the continuation comparison.
mixed200k_checkpoint,zenodo_checkpoint,no,,xrd_model_eeru8svx_best.pth,external/checkpoints/xrd_model_eeru8svx_best.pth,mixed pilot,Download from Zenodo if rerunning mixed-200k checkpoint evaluation.
final_mixed2500k_checkpoint,zenodo_checkpoint,no,,xrd_model_82ept35h_best.pth,external/checkpoints/xrd_model_82ept35h_best.pth,historical large mixed evaluation,Retained for provenance; current large mixed flat-37 checkpoint is listed in checkpoint_manifest.csv.
late_uniform_precursor_checkpoint,zenodo_checkpoint,no,,xrd_model_xgy3h6uw_best.pth,external/checkpoints/xrd_model_xgy3h6uw_best.pth,exploratory supplement continuation family,Named supplementary larger-uniform precursor checkpoint.
late_stage2_continuation_checkpoint,zenodo_checkpoint,no,,xrd_model_2vegisf1_best.pth,external/checkpoints/xrd_model_2vegisf1_best.pth,exploratory supplement continuation family,Named supplementary continuation checkpoint.
standard_trainready_h5,external_dataset,no,STANDARD_TRAINREADY_H5,rruff_conditioned_2346k_v1_trainready.hdf5,/scratch/.../rruff_conditioned_2346k_v1_trainready.hdf5,training only,External trainready dataset not redistributed in this repo.
po_trainready_h5,external_dataset,no,PO_TRAINREADY_H5,rruff_conditioned_500k_po_v1_trainready.hdf5,/scratch/.../rruff_conditioned_500k_po_v1_trainready.hdf5,training only,External trainready dataset not redistributed in this repo.
rruff325_h5,external_dataset,no,RRUFF_325_H5,RRUFF_usable_plus_recoverable_325_with_labels_maxnorm.hdf5,/work2/.../RRUFF_usable_plus_recoverable_325_with_labels_maxnorm.hdf5,evaluation,Primary harsh real-data benchmark. Required by `scripts/eval_rruff_325_473.sh`.
rruff473_h5,external_dataset,no,RRUFF_473_H5,RRUFF_option1_473_with_buckets_maxnorm.hdf5,/work2/.../RRUFF_option1_473_with_buckets_maxnorm.hdf5,evaluation,Broader curated real-data benchmark. Required by `scripts/eval_rruff_325_473.sh`.
prior_h5,external_dataset,no,PRIOR_H5,rruff_conditioned_2346k_v1_trainready.hdf5,/scratch/.../rruff_conditioned_2346k_v1_trainready.hdf5,evaluation,External prior/train HDF5 used for prior-derived calibration in the evaluation wrapper.
canonical_extinction_csv,external_dataset,no,CANONICAL_CSV,canonical_extinction_to_space_group.csv,/scratch/.../ai-diffraction/Code/Post_Processing/canonical_extinction_to_space_group.csv,topology figures,External canonical extinction-group table required by `scripts/make_topology_flow_figure.sh`. The validated Stampede example lived in an `ai-diffraction` checkout on scratch.
topology_graph_json,bundled_asset,yes,GRAPH_JSON,extinction_group_adjacency.json,assets/topology/extinction_group_adjacency.json,topology figures,Bundled in this repo.
mixed200k_failure_json,bundled_result_json,yes,MIXED200K_FAILURE_JSON,mixed200k_compare_325_failure_modes_eeru8svx.json,results/mixed200k_compare_325_failure_modes_eeru8svx.json,topology figures,Bundled compact paper result artifact.
mixed2500k_failure_json,bundled_result_json,yes,FAILURE_JSON,mixed2500k_compare_325_failure_modes_655279.json,results/mixed2500k_compare_325_failure_modes_655279.json,topology figures,Bundled compact paper result artifact.
calibration_sweep_json,bundled_result_json,yes,CAL_SWEEP_JSON,stage2c_r325_temp_sweep.json,assets/figure_data/stage2c_r325_temp_sweep.json,historical calibration figure input,Retained compact Stage-2c sweep JSON; revised grouped-CV calibration JSON is listed as `flat37_grouped_cv_json`.
physics_pe_curve_json,bundled_result_json,yes,PHYSICS_PE_CURVE_JSON,physics_pe_curve_82ept35h.json,assets/figure_data/physics_pe_curve_82ept35h.json,historical physics-PE figure input,Retained compact checkpoint-curve JSON used by `scripts/make_physics_pe_q2_ruler.py`.
supplemental_train_pyxtal_balanced,external_dataset,no,,10Million_pyxtal_RRUFFF-type_repacked.hdf5,/scratch/<USER>/Data/10Million_pyxtal_RRUFFF-type_repacked.hdf5,supplemental Table S7 (tite66yo),10M PyXtal balanced label distribution; 5–90°; spec_length=8501
supplemental_train_pyxtal_icsd,external_dataset,no,,10mil_pyxtal_rruff-type_icsd_distrib_repacked.hdf5,/scratch/<USER>/Data/10mil_pyxtal_rruff-type_icsd_distrib_repacked.hdf5,supplemental Table S7 (k0it6fz2),10M PyXtal ICSD label distribution; 5–90°; spec_length=8501
supplemental_train_pyxtal_rruff,external_dataset,no,,10mil_pyxtal_rruff-type_rruff_distrib_repacked.hdf5,/scratch/<USER>/Data/10mil_pyxtal_rruff-type_rruff_distrib_repacked.hdf5,supplemental Table S7 (l0yy9wv9),10M PyXtal RRUFF label distribution; 5–90°; spec_length=8501
supplemental_train_pyxtal_aug,external_dataset,no,,rruff_aug_10M_trainready_repacked.hdf5,/scratch/<USER>/Data/rruff_aug_10M_trainready_repacked.hdf5,supplemental Table S7 (cpv8k8ha) and Fig S5 (pi7r8pah),10M PyXtal augmented RRUFF-type distribution; 5–90°; spec_length=8501
supplemental_train_reflection_highres,external_dataset,no,,10Million_ref_ext_highres.h5,/scratch/<USER>/Data/10Million_ref_ext_highres.h5,supplemental Tables S3/S4/S5 (smqmqi14 spec_length=701; mth7zg2w spec_length=1000),10M reflection high-res
supplemental_train_pyxtal_cleaned,external_dataset,no,,10million_pyxtal_repacked_cleaned.hdf5,/scratch/<USER>/Data/10million_pyxtal_repacked_cleaned.hdf5,supplemental Tables S4/S5 (bj1m83oz spec_length=700; 3zmiyil8 spec_length=1000),10M PyXtal cleaned
supplemental_train_reflection_icsd_bias,external_dataset,no,,10M_W_ICSD_Bias_reflection_repack.hdf5,/scratch/<USER>/Data/10M_W_ICSD_Bias_reflection_repack.hdf5,supplemental Table S3 (f3sdux88),10M reflection ICSD-biased label distribution
supplemental_train_pyxtal_icsd_bias,external_dataset,no,,10M_W_ICSD_Bias_pyxtal_repack.hdf5,/scratch/<USER>/Data/10M_W_ICSD_Bias_pyxtal_repack.hdf5,supplemental Table S3 (kd1znx23),10M PyXtal ICSD-biased label distribution
supplemental_test_rruff_reduced_700,external_dataset,no,,RRUFF_norm_reduced_range_10_80_deg_700_intensity.hdf5,/scratch/<USER>/Data/RRUFF_norm_reduced_range_10_80_deg_700_intensity.hdf5,supplemental Table S5 inference run e0sq2tus (bj1m83oz),Reduced range RRUFF; 700 pts; 10–80°
supplemental_test_rruff_reduced_701,external_dataset,no,,RRUFF_norm_reduced_range_10_80_deg_701_intensity.hdf5,/scratch/<USER>/Data/RRUFF_norm_reduced_range_10_80_deg_701_intensity.hdf5,supplemental Table S5 inference runs njur2oso/x9ye2mrx (smqmqi14),Reduced range RRUFF; 701 pts; 10–80°
supplemental_test_rruff_full_1000,external_dataset,no,,RRUFF_norm_uniform_sampling_5_90_deg_1000_intensity.hdf5,/scratch/<USER>/Data/RRUFF_norm_uniform_sampling_5_90_deg_1000_intensity.hdf5,supplemental Table S5 inference runs hrhk538h (mth7zg2w) and ollqf5gm (3zmiyil8),Full range RRUFF; 1000 pts; 5–90°
supplemental_test_rruff_low_bkg_8501,external_dataset,no,,RRUFF_low_bkg_full_intensity.hdf5,/scratch/<USER>/Data/RRUFF_low_bkg_full_intensity.hdf5,supplemental Table S7 inference runs,Full RRUFF low background; 8501 pts; 5–90°
supplemental_test_rruff_interp,external_dataset,no,,RRUFF_interp_data.hdf5,/scratch/<USER>/Data/RRUFF_interp_data.hdf5,supplemental Fig S5 attention overlay inference,RRUFF interpretability set with structure_id dataset
supplemental_1k_structures_csv,bundled_asset,yes,,1k_structures.csv,assets/figure_data/1k_structures.csv,supplemental Fig S5 (csv_to_db_with_bravais_vit_model.ipynb),1000 crystal structures with structure_id/space group/unit cell/atoms; source for intrep_crystal_xrd.db
supplemental_interp_metadata_csv,bundled_asset,yes,,interp_metadata_clean.csv,assets/figure_data/interp_metadata_clean.csv,supplemental Fig S5 (csv_to_db_with_bravais_vit_model.ipynb),Maps HDF5 index to structure_id for interpretability subset
supplemental_confusion_matrix_json,bundled_asset,yes,,conf_mat_top5_copper-sweep-1_table_103_ff53214644fd32c50e63.table.json,assets/figure_data/conf_mat_top5_copper-sweep-1_table_103_ff53214644fd32c50e63.table.json,supplemental Fig S3 (wandb_confusion_matrix_from_table.ipynb),99x99 W&B confusion matrix table artifact from run 76zuzb4h; columns: Actual/Predicted/nPredictions
